ID,Purchased,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Specialization,Origin
8545,No,No,No,3,164,1.5,,API
8546,No,No,No,2,413,2,,API
8547,No,No,No,3,106,3,Finance Management,Landing Page Submission
8548,Yes,No,No,0,0,0,,Lead Add Form
8549,No,No,No,6,1,6,,API
8550,No,No,No,6,120,6,Marketing Management,Landing Page Submission
8551,No,No,No,0,0,0,,API
8552,Yes,No,No,0,0,0,,API
8553,Yes,No,No,9,1256,9,Supply Chain Management,Landing Page Submission
8554,No,No,No,5,124,5,,API
8555,No,No,No,2,141,2,Human Resource Management,Landing Page Submission
8556,No,No,No,3,321,3,,API
8557,Yes,Yes,No,0,0,0,,Lead Add Form
8558,No,No,No,0,0,0,,API
8559,No,No,No,1,197,1,,API
8560,No,No,No,3,521,3,Travel and Tourism,Landing Page Submission
8561,No,No,No,2,455,1,,API
8562,No,No,No,2,263,2,E-COMMERCE,Landing Page Submission
8563,Yes,No,No,9,1573,4.5,Operations Management,API
8564,No,No,No,2,1449,2,Finance Management,Landing Page Submission
8565,Yes,No,No,6,592,3,,API
8566,No,No,No,0,0,0,,API
8567,Yes,No,No,4,678,2,,API
8568,Yes,Yes,No,0,0,0,,API
8569,Yes,No,No,6,1030,6,Finance Management,Landing Page Submission
8570,No,No,No,6,45,3,,API
8571,Yes,No,No,4,234,4,Finance Management,Landing Page Submission
8572,Yes,No,No,2,1580,2,,API
8573,No,No,No,4,1106,4,"Banking, Investment And Insurance",Landing Page Submission
8574,No,No,No,17,380,2.83,Services Excellence,Landing Page Submission
8575,Yes,No,No,3,401,3,Finance Management,Landing Page Submission
8576,No,No,No,4,45,2,,API
8577,Yes,No,No,3,535,3,Supply Chain Management,Landing Page Submission
8578,No,No,No,3,1419,3,International Business,Landing Page Submission
8579,Yes,No,No,8,1232,4,Business Administration,Landing Page Submission
8580,No,No,No,6,195,2,Operations Management,Landing Page Submission
8581,Yes,No,No,0,0,0,,API
8582,Yes,No,No,0,0,0,,Lead Add Form
8583,Yes,No,No,6,565,6,,API
8584,Yes,No,No,5,1538,2.5,Marketing Management,Landing Page Submission
8585,No,No,No,6,68,6,Finance Management,Landing Page Submission
8586,No,No,No,0,0,0,,API
8587,No,Yes,No,4,348,4,Business Administration,Landing Page Submission
8588,Yes,No,No,2,1163,2,,API
8589,No,No,No,0,0,0,,API
8590,No,No,No,1,432,1,Marketing Management,Landing Page Submission
8591,No,No,No,1,360,1,,API
8592,Yes,No,No,4,1137,1.33,Operations Management,API
8593,Yes,Yes,No,0,0,0,,Lead Add Form
8594,No,No,No,6,371,3,,API
8595,Yes,No,No,7,1478,2.33,Marketing Management,Landing Page Submission
8596,No,No,No,2,252,2,Operations Management,Landing Page Submission
8597,No,No,No,2,1381,2,Retail Management,Landing Page Submission
8598,Yes,No,No,8,1342,2.67,Supply Chain Management,Landing Page Submission
8599,No,No,No,0,0,0,,API
8600,Yes,No,No,15,1040,3,Travel and Tourism,Landing Page Submission
8601,No,No,No,3,173,3,Marketing Management,Landing Page Submission
8602,Yes,No,No,5,1670,1,,API
8603,No,No,No,2,1692,2,Finance Management,Landing Page Submission
8604,No,No,No,0,0,0,,API
8605,No,No,No,20,165,5,Human Resource Management,Landing Page Submission
8606,No,No,No,2,182,2,Human Resource Management,Landing Page Submission
8607,No,No,No,4,114,4,Business Administration,Landing Page Submission
8608,No,No,No,4,411,4,Healthcare Management,Landing Page Submission
8609,No,No,No,6,136,3,Human Resource Management,Landing Page Submission
8610,No,No,No,8,203,8,International Business,Landing Page Submission
8611,No,No,No,4,1534,4,Marketing Management,API
8612,No,No,No,2,389,2,Supply Chain Management,Landing Page Submission
8613,No,No,No,0,0,0,,API
8614,No,No,No,4,859,4,IT Projects Management,Landing Page Submission
8615,No,Yes,No,2,269,2,,API
8616,No,Yes,No,2,267,2,Operations Management,Landing Page Submission
8617,No,No,No,5,131,2.5,Marketing Management,Landing Page Submission
8618,Yes,No,No,2,1239,2,Business Administration,Landing Page Submission
8619,No,No,No,7,69,7,E-COMMERCE,Landing Page Submission
8620,No,No,No,18,264,6,Human Resource Management,Landing Page Submission
8621,Yes,No,No,2,1122,1,Operations Management,API
8622,Yes,No,No,0,0,0,Human Resource Management,API
8623,Yes,No,No,2,129,2,Marketing Management,Landing Page Submission
8624,Yes,No,No,8,1271,8,"Banking, Investment And Insurance",API
8625,Yes,No,No,27,573,1.93,Business Administration,Landing Page Submission
8626,Yes,No,No,3,1353,3,Healthcare Management,Landing Page Submission
8627,No,No,No,2,122,2,"Banking, Investment And Insurance",Landing Page Submission
8628,No,Yes,No,2,191,2,Finance Management,Landing Page Submission
8629,No,Yes,No,3,40,3,Finance Management,Landing Page Submission
8630,No,No,No,0,0,0,,API
8631,No,No,No,2,306,2,Finance Management,Landing Page Submission
8632,No,No,No,5,903,5,,API
8633,No,No,No,0,0,0,,API
8634,No,Yes,No,1,341,1,Finance Management,Landing Page Submission
8635,No,Yes,No,3,146,3,International Business,Landing Page Submission
8636,Yes,No,No,9,665,2.25,Marketing Management,Landing Page Submission
8637,No,Yes,No,7,315,2.33,Rural and Agribusiness,Landing Page Submission
8638,No,No,No,1,73,1,,API
8639,Yes,No,No,4,141,4,Human Resource Management,Landing Page Submission
8640,No,No,No,5,191,5,Marketing Management,Landing Page Submission
8641,No,No,No,15,1042,15,Retail Management,Landing Page Submission
8642,Yes,No,No,0,0,0,,Lead Add Form
8643,Yes,No,No,4,417,4,Finance Management,Landing Page Submission
8644,No,No,No,0,0,0,,API
8645,No,No,No,4,266,4,International Business,Landing Page Submission
8646,Yes,No,No,2,1635,2,Finance Management,Landing Page Submission
8647,Yes,No,No,7,1014,3.5,Marketing Management,Landing Page Submission
8648,No,No,No,2,1087,2,Human Resource Management,Landing Page Submission
8649,Yes,No,No,2,1019,2,Finance Management,Landing Page Submission
8650,No,No,No,15,290,1.5,Supply Chain Management,Landing Page Submission
8651,Yes,No,No,3,1128,3,"Banking, Investment And Insurance",Landing Page Submission
8652,No,No,No,0,0,0,,API
8653,No,No,No,0,0,0,,API
8654,No,No,No,0,0,0,,API
8655,No,No,No,0,0,0,,API
8656,No,No,No,0,0,0,,API
8657,No,No,No,0,0,0,,API
8658,No,No,No,1,40,1,Human Resource Management,Landing Page Submission
8659,No,No,No,4,425,2,Hospitality Management,Landing Page Submission
8660,No,No,No,12,25,6,Media and Advertising,Landing Page Submission
8661,No,No,No,0,0,0,,API
8662,No,No,No,4,301,2,Human Resource Management,Landing Page Submission
8663,Yes,No,No,1,216,1,E-COMMERCE,Landing Page Submission
8664,No,Yes,No,11,190,3.67,IT Projects Management,Landing Page Submission
8665,No,No,No,8,33,1.6,Supply Chain Management,API
8666,No,No,No,7,859,1.75,,API
8667,No,No,No,2,23,2,,API
8668,No,No,No,6,100,3,,API
8669,No,No,No,5,38,5,Marketing Management,Landing Page Submission
8670,No,Yes,No,5,19,1.25,Rural and Agribusiness,Landing Page Submission
8671,No,No,No,0,0,0,,API
8672,No,No,No,3,294,1.5,Marketing Management,Landing Page Submission
8673,No,No,No,2,265,2,,API
8674,Yes,No,No,3,842,1.5,Finance Management,Landing Page Submission
8675,No,No,No,3,88,3,Marketing Management,Landing Page Submission
8676,No,Yes,No,2,25,2,Healthcare Management,Landing Page Submission
8677,No,No,No,4,106,4,,API
8678,Yes,No,No,4,1074,2,,API
8679,No,Yes,No,7,219,7,,API
8680,No,No,No,6,386,6,Supply Chain Management,Landing Page Submission
8681,No,No,No,0,0,0,,API
8682,Yes,No,No,0,0,0,,Lead Add Form
8683,No,No,No,7,1206,1.75,,API
8684,No,No,No,5,224,5,Services Excellence,Landing Page Submission
8685,Yes,No,No,23,1341,2.09,,API
8686,No,No,No,2,432,1,,API
8687,Yes,No,No,5,789,5,"Banking, Investment And Insurance",Landing Page Submission
8688,Yes,No,No,5,1445,5,Finance Management,Landing Page Submission
8689,No,No,No,5,189,2.5,Media and Advertising,Landing Page Submission
8690,No,No,No,0,0,0,,API
8691,No,No,No,0,0,0,Marketing Management,API
8692,No,No,No,0,0,0,,API
8693,No,No,No,3,304,1.5,Operations Management,Landing Page Submission
8694,No,No,No,2,346,2,Human Resource Management,Landing Page Submission
8695,No,Yes,No,0,0,0,,API
8696,No,Yes,No,0,0,0,,API
8697,No,No,No,0,0,0,,API
8698,No,No,No,7,408,1.75,Business Administration,Landing Page Submission
8699,No,No,No,1,456,1,Marketing Management,Landing Page Submission
8700,No,No,No,4,137,2,Business Administration,Landing Page Submission
8701,No,No,No,7,162,3.5,Human Resource Management,Landing Page Submission
8702,Yes,No,No,1,594,1,Human Resource Management,Landing Page Submission
8703,No,Yes,No,5,406,5,Services Excellence,Landing Page Submission
8704,No,No,No,2,44,1,,API
8705,Yes,No,No,2,1608,2,"Banking, Investment And Insurance",Landing Page Submission
8706,No,No,No,2,404,2,Finance Management,Landing Page Submission
8707,No,Yes,No,0,0,0,,API
8708,No,No,No,7,600,2.33,Human Resource Management,Landing Page Submission
8709,No,No,No,2,327,2,Operations Management,Landing Page Submission
8710,No,No,No,4,5,4,E-Business,Landing Page Submission
8711,No,No,No,3,99,3,IT Projects Management,Landing Page Submission
8712,Yes,No,No,4,1070,4,E-COMMERCE,Landing Page Submission
8713,No,No,No,0,0,0,,API
8714,No,No,No,0,0,0,Marketing Management,API
8715,Yes,No,No,5,1578,5,Human Resource Management,Landing Page Submission
8716,No,No,No,8,193,8,E-COMMERCE,Landing Page Submission
8717,Yes,No,No,3,32,3,Services Excellence,Landing Page Submission
8718,No,No,No,1,446,1,E-COMMERCE,Landing Page Submission
8719,No,No,No,2,149,2,International Business,Landing Page Submission
8720,Yes,No,No,3,1368,1.5,Finance Management,Landing Page Submission
8721,No,No,No,13,207,3.25,Human Resource Management,Landing Page Submission
8722,No,No,No,1,336,1,Healthcare Management,Landing Page Submission
8723,Yes,No,No,2,823,2,Human Resource Management,Landing Page Submission
8724,No,No,No,2,228,2,,API
8725,No,No,No,3,389,3,Human Resource Management,Landing Page Submission
8726,No,No,No,1,1183,1,,API
8727,No,No,No,3,83,3,Supply Chain Management,Landing Page Submission
8728,No,Yes,No,5,131,1.25,Supply Chain Management,Landing Page Submission
8729,Yes,No,No,2,1019,2,Human Resource Management,Landing Page Submission
8730,Yes,No,No,7,229,3.5,Healthcare Management,Landing Page Submission
8731,Yes,No,No,7,330,7,International Business,Landing Page Submission
8732,No,No,No,3,89,3,Supply Chain Management,Landing Page Submission
8733,Yes,No,No,0,0,0,Healthcare Management,API
8734,No,Yes,No,1,167,1,,Landing Page Submission
8735,Yes,No,No,2,100,2,Media and Advertising,Landing Page Submission
8736,No,No,No,1,489,1,,API
8737,No,No,No,0,0,0,,API
8738,No,No,No,4,304,1.33,Marketing Management,Landing Page Submission
8739,No,No,No,3,828,3,Marketing Management,Landing Page Submission
8740,No,No,No,6,324,3,Business Administration,Landing Page Submission
8741,No,No,No,0,0,0,,API
8742,No,No,No,5,568,2.5,"Banking, Investment And Insurance",Landing Page Submission
8743,Yes,No,No,2,39,2,,API
8744,Yes,No,No,0,0,0,,API
8745,No,No,No,4,30,4,"Banking, Investment And Insurance",Landing Page Submission
8746,Yes,No,No,3,2253,3,Marketing Management,API
8747,Yes,No,No,0,0,0,,API
8748,No,No,No,0,0,0,,API
8749,Yes,No,No,2,1041,2,Finance Management,Landing Page Submission
8750,Yes,No,No,1,145,1,E-COMMERCE,Lead Add Form
8751,Yes,No,No,3,1111,1.5,Operations Management,Landing Page Submission
8752,No,No,No,4,74,4,"Banking, Investment And Insurance",Landing Page Submission
8753,No,No,No,7,397,7,Travel and Tourism,Landing Page Submission
8754,No,No,No,2,250,2,,API
8755,Yes,Yes,No,0,0,0,,API
8756,No,No,No,2,330,2,Finance Management,Landing Page Submission
8757,No,No,No,3,200,3,Marketing Management,Landing Page Submission
8758,Yes,No,No,5,439,1.67,Supply Chain Management,Landing Page Submission
8759,No,No,No,2,198,2,Marketing Management,Landing Page Submission
8760,Yes,No,No,0,0,0,,Lead Add Form
8761,No,Yes,No,3,718,3,,API
8762,Yes,Yes,No,4,321,4,Human Resource Management,Landing Page Submission
8763,No,No,No,0,0,0,,API
8764,Yes,No,No,7,931,1.75,Human Resource Management,Landing Page Submission
8765,No,No,No,4,1029,4,Finance Management,Landing Page Submission
8766,No,No,No,2,462,2,,API
8767,No,No,No,11,594,3.67,Healthcare Management,Landing Page Submission
8768,No,No,No,0,0,0,,API
8769,No,No,No,4,27,2,Business Administration,Landing Page Submission
8770,No,Yes,No,2,488,2,Business Administration,Landing Page Submission
8771,No,No,No,2,126,1,,API
8772,No,No,No,0,0,0,,API
8773,No,Yes,No,1,159,1,IT Projects Management,Landing Page Submission
8774,No,No,No,5,47,5,,API
8775,No,No,No,3,16,1,,API
8776,No,No,No,3,1168,3,Human Resource Management,Landing Page Submission
8777,Yes,No,No,0,0,0,,Lead Add Form
8778,No,No,No,0,0,0,,API
8779,Yes,No,No,0,0,0,,API
8780,No,No,No,2,15,2,Operations Management,Landing Page Submission
8781,No,No,No,2,90,2,International Business,Landing Page Submission
8782,No,No,No,2,1566,2,Operations Management,Landing Page Submission
8783,No,No,No,5,559,5,Finance Management,API
8784,No,No,No,5,869,5,Supply Chain Management,Landing Page Submission
8785,No,No,No,0,0,0,,API
8786,Yes,No,No,3,1325,1.5,Business Administration,Landing Page Submission
8787,Yes,No,No,0,0,0,,Lead Add Form
8788,Yes,No,No,2,2170,1,Marketing Management,API
8789,No,No,No,6,1377,6,Operations Management,Landing Page Submission
8790,No,No,No,0,0,0,,API
8791,Yes,No,No,4,1146,2,IT Projects Management,Landing Page Submission
8792,Yes,No,No,5,5,2.5,Business Administration,Landing Page Submission
8793,No,No,No,7,130,1.4,Supply Chain Management,Landing Page Submission
8794,No,Yes,No,2,43,2,Services Excellence,Landing Page Submission
8795,No,No,No,2,245,2,International Business,Landing Page Submission
8796,No,No,No,4,271,4,Travel and Tourism,Landing Page Submission
8797,No,Yes,No,3,471,3,IT Projects Management,Landing Page Submission
8798,No,No,No,0,0,0,,API
8799,Yes,No,No,3,230,3,Human Resource Management,Landing Page Submission
8800,No,No,No,4,18,4,"Banking, Investment And Insurance",Landing Page Submission
8801,No,No,No,2,63,2,Marketing Management,Landing Page Submission
8802,Yes,No,No,6,1713,6,International Business,Landing Page Submission
8803,No,Yes,No,4,447,4,IT Projects Management,Landing Page Submission
8804,No,Yes,No,0,0,0,,API
8805,No,No,No,8,1361,2.67,Marketing Management,Landing Page Submission
8806,Yes,No,No,3,1516,3,International Business,Landing Page Submission
8807,No,No,No,2,239,1,,API
8808,No,No,No,3,325,3,Finance Management,Landing Page Submission
8809,No,No,No,0,0,0,,API
8810,No,No,No,3,312,1,,API
8811,No,No,No,5,1298,5,E-Business,Landing Page Submission
8812,No,No,No,5,426,5,Human Resource Management,Landing Page Submission
8813,No,No,No,2,1124,2,"Banking, Investment And Insurance",Landing Page Submission
8814,Yes,No,No,2,69,2,Human Resource Management,Landing Page Submission
8815,No,Yes,No,1,1465,1,Travel and Tourism,Landing Page Submission
8816,No,No,No,3,663,3,Marketing Management,Landing Page Submission
8817,Yes,No,No,3,1372,3,Finance Management,Landing Page Submission
8818,Yes,No,No,2,206,2,Operations Management,Landing Page Submission
8819,Yes,No,No,3,1320,1,,API
8820,Yes,No,No,5,1464,5,IT Projects Management,Landing Page Submission
8821,No,Yes,No,7,176,7,IT Projects Management,Landing Page Submission
8822,No,No,No,6,168,3,Finance Management,Landing Page Submission
8823,No,No,No,0,0,0,,API
8824,Yes,No,No,4,1192,4,Business Administration,Landing Page Submission
8825,No,No,No,2,1094,2,Human Resource Management,Landing Page Submission
8826,No,No,No,0,0,0,,API
8827,No,No,No,8,39,2.67,E-Business,Landing Page Submission
8828,No,No,No,23,194,11.5,Finance Management,Landing Page Submission
8829,No,No,No,2,783,2,Business Administration,Landing Page Submission
8830,No,No,No,1,49,1,Marketing Management,Landing Page Submission
8831,No,Yes,No,4,883,4,IT Projects Management,Landing Page Submission
8832,Yes,No,No,2,138,2,Finance Management,Landing Page Submission
8833,No,No,No,8,327,2.67,Travel and Tourism,Landing Page Submission
8834,No,No,No,5,46,5,Finance Management,Landing Page Submission
8835,No,No,No,7,1055,7,,API
8836,No,No,No,3,271,3,Hospitality Management,Landing Page Submission
8837,No,No,No,4,1645,4,Supply Chain Management,API
8838,No,No,No,0,0,0,,API
8839,No,No,No,2,1740,2,Finance Management,Landing Page Submission
8840,No,No,No,4,709,2,,Landing Page Submission
8841,Yes,No,No,3,432,1.5,Finance Management,API
8842,Yes,No,No,5,726,5,,API
8843,No,Yes,No,1,155,1,Travel and Tourism,Landing Page Submission
8844,No,No,No,3,1709,3,Human Resource Management,API
8845,Yes,Yes,No,1,869,1,Marketing Management,Landing Page Submission
8846,No,No,No,2,391,2,Finance Management,Landing Page Submission
8847,No,No,No,2,660,2,"Banking, Investment And Insurance",Landing Page Submission
8848,No,No,No,0,0,0,,API
8849,No,No,No,11,496,3.67,Healthcare Management,API
8850,No,No,No,9,83,3,"Banking, Investment And Insurance",Landing Page Submission
8851,Yes,No,No,5,952,5,Marketing Management,API
8852,No,No,No,4,373,4,Human Resource Management,Landing Page Submission
8853,No,No,No,7,5,7,,API
8854,No,No,No,0,0,0,,API
8855,Yes,No,No,5,68,2.5,Operations Management,Landing Page Submission
8856,Yes,No,No,1,1245,1,Human Resource Management,Landing Page Submission
8857,No,No,No,0,0,0,,API
8858,No,No,No,5,87,5,Travel and Tourism,Landing Page Submission
8859,No,No,No,2,121,2,,API
8860,Yes,No,No,5,1202,5,International Business,Landing Page Submission
8861,No,No,No,0,0,0,,API
8862,No,No,No,0,0,0,,API
8863,Yes,No,No,5,1467,5,Supply Chain Management,Landing Page Submission
8864,No,No,No,4,455,2,Finance Management,Landing Page Submission
8865,Yes,No,No,3,278,1.5,Marketing Management,Landing Page Submission
8866,Yes,No,No,4,1341,4,Business Administration,Landing Page Submission
8867,No,No,No,0,0,0,,API
8868,Yes,No,No,4,1268,4,Business Administration,Landing Page Submission
8869,No,No,No,0,0,0,,API
8870,No,No,No,2,124,1,,API
8871,No,No,No,0,0,0,,API
8872,Yes,No,No,3,1513,3,Operations Management,Landing Page Submission
8873,No,No,No,5,93,5,Travel and Tourism,Landing Page Submission
8874,Yes,No,No,2,1915,2,,API
8875,Yes,No,No,0,0,0,,API
8876,No,No,No,3,6,1.5,,API
8877,No,No,No,4,482,4,IT Projects Management,Landing Page Submission
